Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.236,0.027000000000000003,-3.895
0.2365,0.027000000000000003,-3.8710000000000004
0.237,0.022000000000000002,-3.8510000000000004
0.2375,0.027000000000000003,-3.827
0.238,0.027000000000000003,-3.802
0.2385,0.022000000000000002,-3.7880000000000003
0.239,0.032,-3.758
0.2395,0.032,-3.734
0.24,0.027000000000000003,-3.714
0.2405,0.032,-3.69
0.241,0.032,-3.67
0.2415,0.032,-3.6460000000000004
0.242,0.032,-3.6260000000000003
0.2425,0.037000000000000005,-3.602
0.243,0.032,-3.5780000000000003
0.2435,0.032,-3.563
0.244,0.037000000000000005,-3.5380000000000003
0.2445,0.027000000000000003,-3.514
0.245,0.032,-3.495
0.2455,0.032,-3.475
0.246,0.027000000000000003,-3.446
0.2465,0.027000000000000003,-3.426
0.247,0.032,-3.407
0.2475,0.032,-3.377
0.248,0.027000000000000003,-3.358
0.2485,0.032,-3.338
0.249,0.032,-3.3089999999999997
0.2495,0.027000000000000003,-3.2889999999999997
0.25,0.032,-3.265
0.2505,0.037000000000000005,-3.241
0.251,0.027000000000000003,-3.221
0.2515,0.032,-3.1919999999999997
0.252,0.037000000000000005,-3.1719999999999997
0.2525,0.032,-3.153
0.253,0.032,-3.133
0.2535,0.032,-3.1039999999999996
0.254,0.032,-3.0789999999999997
0.2545,0.027000000000000003,-3.065
0.255,0.032,-3.035
0.2555,0.027000000000000003,-3.016
0.256,0.032,-2.9960000000000004
0.2565,0.037000000000000005,-2.967
0.257,0.032,-2.938
0.2575,0.022000000000000002,-2.923
0.258,0.032,-2.8989999999999996
0.2585,0.032,-2.8689999999999998
0.259,0.027000000000000003,-2.85
0.2595,0.032,-2.825
0.26,0.037000000000000005,-2.7960000000000003
0.2605,0.032,-2.781
0.261,0.037000000000000005,-2.7569999999999997
0.2615,0.037000000000000005,-2.733
0.262,0.032,-2.713
0.2625,0.037000000000000005,-2.6889999999999996
0.263,0.037000000000000005,-2.659
0.2635,0.032,-2.64
0.264,0.032,-2.62
0.2645,0.037000000000000005,-2.591
0.265,0.032,-2.571
0.2655,0.032,-2.552
0.266,0.037000000000000005,-2.523
0.2665,0.027000000000000003,-2.503
0.267,0.032,-2.479
0.2675,0.032,-2.454
0.268,0.032,-2.425
0.2685,0.032,-2.4
0.269,0.032,-2.381
