Laatste: Tijd (s),Laatste: Potential 1 (V),Laatste: Potential 2 (V)
0.5710000000000001,7.436,7.709
0.5720000000000001,7.431,7.7
0.573,7.431,7.7
0.574,7.436,7.705
0.575,7.436,7.7
0.5760000000000001,7.446000000000001,7.709
0.5770000000000001,7.446000000000001,7.709
0.578,7.446000000000001,7.709
0.579,7.4510000000000005,7.705
0.58,7.446000000000001,7.7
0.581,7.4510000000000005,7.709
0.5820000000000001,7.4510000000000005,7.705
0.583,7.4510000000000005,7.705
0.584,7.46,7.705
0.585,7.455,7.705
0.586,7.46,7.709
0.5870000000000001,7.465,7.705
0.588,7.46,7.705
0.589,7.465,7.705
0.59,7.465,7.7
0.591,7.47,7.709
0.5920000000000001,7.47,7.705
0.593,7.465,7.705
0.594,7.47,7.709
0.595,7.475,7.705
0.596,7.475,7.705
0.597,7.48,7.705
0.598,7.475,7.705
0.599,7.49,7.709
0.6,7.48,7.709
0.601,7.48,7.705
0.602,7.485,7.705
0.603,7.49,7.705
0.604,7.485,7.709
0.605,7.49,7.709
0.606,7.49,7.705
0.607,7.49,7.705
0.608,7.495,7.705
0.609,7.495,7.709
0.61,7.495,7.705
0.611,7.495,7.705
0.612,7.499,7.705
0.613,7.495,7.7
0.614,7.499,7.709
0.615,7.499,7.709
0.616,7.499,7.705
0.617,7.5089999999999995,7.709
0.618,7.504,7.705
0.619,7.504,7.709
0.62,7.5089999999999995,7.709
0.621,7.504,7.705
0.622,7.513999999999999,7.709
0.623,7.5089999999999995,7.705
0.624,7.5089999999999995,7.709
0.625,7.5089999999999995,7.705
0.626,7.513999999999999,7.705
0.627,7.519,7.7139999999999995
0.628,7.519,7.705
0.629,7.513999999999999,7.709
0.63,7.519,7.709
0.631,7.519,7.705
0.632,7.519,7.709
0.633,7.524,7.705
0.634,7.519,7.709
0.635,7.529,7.709
0.636,7.529,7.705
0.637,7.524,7.7139999999999995
0.638,7.529,7.709
0.639,7.524,7.709
0.64,7.529,7.705
0.6409999999999999,7.524,7.7
0.642,7.529,7.709
0.643,7.534,7.709
0.644,7.529,7.709
0.645,7.537999999999999,7.709
0.6459999999999999,7.534,7.705
0.647,7.537999999999999,7.709
0.648,7.542999999999999,7.709
0.649,7.534,7.709
0.65,7.542999999999999,7.709
0.6509999999999999,7.537999999999999,7.7
0.652,7.537999999999999,7.709
0.653,7.542999999999999,7.709
0.654,7.537999999999999,7.709
0.655,7.547999999999999,7.709
0.6559999999999999,7.542999999999999,7.705
0.657,7.547999999999999,7.7139999999999995
0.6579999999999999,7.547999999999999,7.709
0.659,7.542999999999999,7.709
0.66,7.547999999999999,7.709
0.6609999999999999,7.547999999999999,7.7
0.662,7.547999999999999,7.709
0.6629999999999999,7.553,7.705
0.664,7.547999999999999,7.705
0.665,7.553,7.709
0.6659999999999999,7.553,7.705
0.667,7.553,7.709
0.6679999999999999,7.558,7.709
0.669,7.553,7.705
0.67,7.558,7.709
0.6709999999999999,7.553,7.705
0.672,7.553,7.709
0.6729999999999999,7.558,7.705
0.674,7.553,7.709
0.675,7.563,7.709
0.6759999999999999,7.558,7.709
0.677,7.558,7.709
0.6779999999999999,7.568,7.705
0.679,7.558,7.705
0.68,7.563,7.709
0.6809999999999999,7.563,7.705
0.682,7.563,7.709
0.6829999999999999,7.568,7.709
0.684,7.558,7.705
0.685,7.563,7.7139999999999995
0.6859999999999999,7.568,7.709
0.687,7.563,7.709
0.688,7.568,7.709
0.6890000000000001,7.563,7.705
0.69,7.568,7.709
0.691,7.568,7.705
0.6920000000000001,7.568,7.705
0.693,7.5729999999999995,7.7139999999999995
0.6940000000000001,7.5729999999999995,7.705
0.695,7.568,7.705
0.696,7.5729999999999995,7.709
0.6970000000000001,7.568,7.705
0.698,7.5729999999999995,7.7139999999999995
0.6990000000000001,7.5729999999999995,7.709
0.7,7.568,7.709
0.701,7.577999999999999,7.709
0.7020000000000001,7.5729999999999995,7.705
0.703,7.577999999999999,7.7139999999999995
0.7040000000000001,7.5729999999999995,7.705
0.705,7.5729999999999995,7.709
0.706,7.582000000000001,7.709
0.7070000000000001,7.577999999999999,7.709
0.708,7.577999999999999,7.7139999999999995
0.7090000000000001,7.577999999999999,7.709
0.71,7.5729999999999995,7.705
0.711,7.582000000000001,7.705
0.7120000000000001,7.582000000000001,7.7
0.713,7.582000000000001,7.709
0.7140000000000001,7.582000000000001,7.709
0.715,7.577999999999999,7.7
0.716,7.587000000000001,7.709
0.7170000000000001,7.582000000000001,7.7
0.718,7.582000000000001,7.709
0.7190000000000001,7.582000000000001,7.705
0.72,7.577999999999999,7.709
0.721,7.582000000000001,7.7139999999999995
0.722,7.582000000000001,7.7
0.723,7.582000000000001,7.705
0.7240000000000001,7.587000000000001,7.709
0.725,7.582000000000001,7.705
0.726,7.587000000000001,7.709
0.727,7.587000000000001,7.709
0.728,7.587000000000001,7.709
0.7290000000000001,7.5920000000000005,7.709
0.73,7.587000000000001,7.705
0.731,7.587000000000001,7.709
0.732,7.587000000000001,7.705
0.733,7.587000000000001,7.709
0.7340000000000001,7.5920000000000005,7.709
0.735,7.587000000000001,7.705
0.736,7.5920000000000005,7.709
0.737,7.5920000000000005,7.709
0.738,7.587000000000001,7.705
0.7390000000000001,7.597,7.709
0.74,7.5920000000000005,7.7
0.741,7.587000000000001,7.705
0.742,7.5920000000000005,7.705
0.743,7.587000000000001,7.709
0.7440000000000001,7.597,7.709
0.745,7.5920000000000005,7.7
0.746,7.5920000000000005,7.709
0.747,7.597,7.709
0.748,7.5920000000000005,7.709
0.7490000000000001,7.597,7.709
0.75,7.597,7.705
0.7509999999999999,7.5920000000000005,7.705
0.752,7.5920000000000005,7.709
0.753,7.5920000000000005,7.705
0.754,7.602,7.709
0.755,7.597,7.705
0.7559999999999999,7.597,7.709
0.757,7.597,7.709
0.758,7.597,7.7
0.759,7.597,7.7139999999999995
0.76,7.597,7.705
0.7609999999999999,7.597,7.705
0.762,7.602,7.705
0.763,7.602,7.7
0.764,7.602,7.7139999999999995
0.765,7.602,7.709
0.7659999999999999,7.597,7.709
0.767,7.607,7.705
0.768,7.602,7.705
0.769,7.602,7.7139999999999995
0.77,7.602,7.709
0.7709999999999999,7.602,7.705
0.772,7.602,7.709
0.773,7.597,7.705
0.774,7.602,7.709
0.775,7.602,7.705
0.7759999999999999,7.597,7.705
0.777,7.607,7.705
0.778,7.607,7.705
0.779,7.602,7.709
0.78,7.607,7.705
0.7809999999999999,7.597,7.705
0.782,7.607,7.705
0.7829999999999999,7.607,7.7
0.784,7.607,7.709
